# Venue categories - hand-maintained source, merged on top of the
# TicketPortal export by tools/build_venue_tiers.py.
#
# See tools/venue_categories.sample.csv for the format and what each
# column means. Edit this file directly, or merge another file in with:
#     python tools/build_venue_tiers.py --import <file.csv>
# Then rebuild:
#     python tools/build_venue_tiers.py

venue,section,row_from,row_to,tier,sort
acrisure arena,1,,,Other,
acrisure arena,101,,,Lower (100s),
acrisure arena,101W,,,Lower (100s),
acrisure arena,103,,,Lower (100s),
acrisure arena,105,,,Lower (100s),
acrisure arena,106,,,Lower (100s),
acrisure arena,107,,,Lower (100s),
acrisure arena,108,,,Lower (100s),
acrisure arena,108W,,,Lower (100s),
acrisure arena,109,,,Lower (100s),
acrisure arena,110,,,Lower (100s),
acrisure arena,111,,,Lower (100s),
acrisure arena,111W,,,Lower (100s),
acrisure arena,117,,,Lower (100s),
acrisure arena,117W,,,Lower (100s),
acrisure arena,118,,,Lower (100s),
acrisure arena,119,,,Lower (100s),
acrisure arena,120,,,Lower (100s),
acrisure arena,120W,,,Lower (100s),
acrisure arena,121,,,Lower (100s),
acrisure arena,122,,,Lower (100s),
acrisure arena,123,,,Lower (100s),
acrisure arena,125,,,Lower (100s),
acrisure arena,127,,,Lower (100s),
acrisure arena,127W,,,Lower (100s),
acrisure arena,2,,,Other,
acrisure arena,200,,,Club / Mezz (200s),
acrisure arena,201,,,Club / Mezz (200s),
acrisure arena,202,,,Club / Mezz (200s),
acrisure arena,202 - SPOTLIGHT 29 PREMIUM LEVEL | EXCLU,,,Club / Mezz (200s),
acrisure arena,203,,,Club / Mezz (200s),
acrisure arena,203 - SPOTLIGHT 29 PREMIUM LEVEL | EXCLU,,,Club / Mezz (200s),
acrisure arena,204,,,Club / Mezz (200s),
acrisure arena,204 - SPOTLIGHT 29 PREMIUM LEVEL | EXCLU,,,Club / Mezz (200s),
acrisure arena,205,,,Club / Mezz (200s),
acrisure arena,205 - SPOTLIGHT 29 PREMIUM LEVEL | EXCLU,,,Club / Mezz (200s),
acrisure arena,206,,,Club / Mezz (200s),
acrisure arena,222,,,Club / Mezz (200s),
acrisure arena,223,,,Club / Mezz (200s),
acrisure arena,223 - SPOTLIGHT 29 PREMIUM LEVEL | EXCLU,,,Club / Mezz (200s),
acrisure arena,224,,,Club / Mezz (200s),
acrisure arena,224 - SPOTLIGHT 29 PREMIUM LEVEL | EXCLU,,,Club / Mezz (200s),
acrisure arena,225,,,Club / Mezz (200s),
acrisure arena,225 - SPOTLIGHT 29 PREMIUM LEVEL | EXCLU,,,Club / Mezz (200s),
acrisure arena,226,,,Club / Mezz (200s),
acrisure arena,226 - SPOTLIGHT 29 PREMIUM LEVEL | EXCLU,,,Club / Mezz (200s),
acrisure arena,227,,,Club / Mezz (200s),
acrisure arena,227 - SPOTLIGHT 29 PREMIUM LEVEL | EXCLU,,,Club / Mezz (200s),
acrisure arena,3,,,Other,
acrisure arena,4,,,Other,
acrisure arena,5,,,Other,
acrisure arena,6,,,Other,
acrisure arena,7,,,Other,
acrisure arena,75702 VARNER RD.,,,Upper (400+),
acrisure arena,8,,,Other,
acrisure arena,9,,,Other,
acrisure arena,ACRISURE ARENA PARKING,,,Other,
acrisure arena,C109,,,Lower (100s),
acrisure arena,C110,,,Lower (100s),
acrisure arena,CLUB 109,,,Lower (100s),
